city,country,lat,lng,cloudiness,humidity,max_temp,wind_speed
bafra,DO,18.04,-71.74,40,62,89.6,16.11
durban,RU,44.63,135.35,1,72,68.68,2.33
grand forks,RU,59.78,30.82,18,82,60.01,6.71
salamiyah,UA,46.69,35.15,100,81,69.55,10.87
auki,CA,49.82,-94.43,75,44,75.2,17.22
baracatan,GL,66.94,-53.67,100,94,44.87,11.9
kuala krai,RU,55.12,83.91,68,91,52.11,1.05
aasiaat,NO,70.98,25.97,0,70,60.17,15.48
wulanhaote,NP,26.92,87.92,100,95,68.65,1.74
socuellamos,AU,-28.87,153.57,65,54,59,13.87
namatanai,GL,68.31,-53.46,100,93,43.25,4.07
murree,CA,51.23,-58.65,94,82,62.74,8.12
juneau,BR,-2.76,-42.27,58,74,80.24,12.59
viligili,VU,-13.88,167.55,68,83,80.62,24.72
orlik,RU,66.77,123.37,81,76,49.66,12.24
kolaras,CA,46.24,-60.22,75,82,69.01,8.05
buala,GB,60.15,-1.15,100,100,55.4,2.24
isangel,JP,26.18,127.76,20,88,82.4,9.17
kenai,UG,-0.78,29.75,81,81,65.93,0.25
malwan,PE,-5.24,-79.45,33,75,61.86,0.83
alice springs,TO,-18.65,-173.98,75,88,75.2,10.29
lewisporte,CD,-7.3,27.42,0,48,66.61,5.12
mingaora,BY,52.63,29.73,87,90,64.69,3.47
katherine,US,36.85,-75.98,90,78,86,4.7
san policarpo,LV,56.54,21.04,90,93,53.6,3
khor,NO,66.4,14.52,75,93,55.4,2.24
kamenka,RU,49.24,135.17,1,82,71.64,3.74
tsaratanana,KZ,52.44,61.74,1,90,53.76,8.86
hailey,SS,9.23,29.83,62,94,72.28,5.14
christchurch,ZA,-33.01,17.94,0,57,50,5.82
bodden town,SA,21.43,39.83,37,58,85.96,9.53
la reforma,NO,65.46,12.2,31,93,53.6,8.05
tornio,JP,35.13,140.3,100,94,80.01,1.01
iskateley,AU,-12.07,134.27,99,51,67.86,15.57
portland,CA,49.78,-74.85,90,78,75.2,3.36
kazanskaya,NG,7.85,9.78,100,92,73.51,5.28
xining,CN,39.74,98.52,0,22,69.73,3.27
teguise,ID,-7.88,111.12,15,89,68.18,4.29
aklavik,US,35.22,-101.83,1,43,89.6,9.17
praia,BR,-3.28,-39.27,4,74,78.4,11.41
port hardy,KZ,52.54,62.49,0,88,54.63,8.79
hokitika,MA,33.59,-7.62,0,94,73,4.7
tazovskiy,IN,25.52,90.22,100,95,74.88,3.74
dalton,RU,54.43,31.9,98,93,61.93,6.24
ituni,CN,37.81,120.75,0,83,72.57,4.83
coahuayana,NO,59.02,6.04,75,77,60.8,16.11
forbes,NZ,-41.41,175.52,45,62,55.4,17.22
general pico,SN,14.69,-17.44,20,78,82.4,4.7
erenhot,RU,53.44,41.81,22,80,59.47,1.63
vicksburg,RU,63.19,64.42,25,78,45.25,3.4
plettenberg bay,BR,-14.52,-49.14,29,38,76.33,6.31
pedernales,ZA,-28.45,21.26,0,30,57.2,9.17
krasnorechenskiy,SA,24.69,46.72,63,26,93.2,7.78
otradnoye,RU,66,111.5,90,93,41,6.71
yakymivka,CN,34.42,109.99,47,93,64.9,5.28
kenora,US,40.92,-98.34,1,35,84.2,10.29
sisimiut,CA,45.62,-61.35,1,82,68,4.7
gornyy,GR,35.13,24.9,0,50,82,5.75
honningsvag,US,36.68,-121.66,1,56,73.99,16.11
ilam,FI,64.81,25.99,90,77,60.8,4.7
ballina,UG,-0.31,32.23,20,88,71.6,5.82
kangaatsiaq,US,42.25,-75.83,75,48,91.99,5.82
saint-augustin,GF,4.93,-52.33,38,88,78.8,2.24
tutoia,US,41.14,-73.36,1,52,93,11.41
sola,JP,38.76,140.3,75,100,73.4,4.7
